rankingNum,universidadName,presenciaPosicion,impactoPosicion,aperturaPosicion,excelenciaPosicion
154,Karolinska Institute / Karolinska Institutet,503,428,68,68
154,University of New Mexico,272,109,282,282
156,Universität Hamburg,200,182,145,145
157,University of Auckland,369,195,172,172
158,University of Missouri Columbia,448,94,346,346
159,Università degli Studi di Padova,245,381,85,85
160,Rheinisch Westfalische Technische Hochschule Aachen,173,190,173,173
161,Rheinische Friedrich Wilhelms Universität Bonn,606,211,154,154
162,Université de Montréal,353,167,223,223
162,Wageningen University & Research Centre,110,286,151,151
164,Royal Institute of Technology / Kungliga Tekniska Högskolan,313,185,195,195
165,Università degli Studi di Milano,483,356,99,99
166,Wuhan University / 武汉大学,442,236,122,122
167,University of Exeter,806,188,198,198
168,University of Alabama Birmingham,1046,201,166,166
169,Nanjing University / 南京大学,806,313,89,89
169,Western University (University of Western Ontario),670,179,211,211
171,Technical University of Denmark / Danmarks Tekniske Universitet,191,300,150,150
172,Queen Mary University of London,843,240,161,161
173,George Mason University,402,62,502,502
174,University of Gothenburg / Göteborgs Universitet,117,253,190,190
175,Universität Bern,391,259,155,155
176,University of Cincinnati,1198,150,238,238
177,University of Houston,653,104,372,372
178,University of Oregon,219,84,466,466
178,City University of Hong Kong,663,247,163,163
180,London School of Economics and Political Science,466,86,468,468
181,University of Bergen / Universitetet i Bergen,57,194,263,263
182,Northeastern University,689,121,291,291
183,M D Anderson Cancer Center University of Texas,3113,390,109,109
184,Charles University in Prague / Univerzita Karlova v Praze UK,16,215,212,212
185,Freie Universität Berlin,240,130,325,325
186,(2) Universidad Complutense de Madrid,97,212,276,276
187,University of York,648,161,304,304
187,(1) Norwegian University of Science & Technology / Norges Teknisk-Naturvitenskapelige Universitet,155,266,205,205
189,Universidade do Porto,83,288,193,193
190,Emory University,491,643,73,73
191,Stockholm University / Stockholms Universitet,304,306,181,181
192,University of Colorado Denver,1355,347,136,136
193,Université d'Ottawa / University of Ottawa,624,229,218,218
194,Hong Kong University of Science & Technology,576,249,213,213
195,University of Oklahoma,1012,143,296,296
196,Queen's University Kingston,839,133,358,358
196,Harbin Institute of Technology / 哈尔滨工业大学,698,470,78,78
198,Virginia Commonwealth University,929,149,306,306
199,Technische Universität Dresden,528,268,197,197
200,Università degli Studi di Napoli Federico II,425,493,106,106
200,Wayne State University,852,187,266,266
200,Osaka University / 大阪大学,223,359,167,167
203,Stony Brook University,1023,270,219,219
204,Universität Freiburg,445,222,240,240
205,Xi'An Jiaotong University / 西安交通大学,439,439,102,102
206,Università di Pisa (Università degli Studi di Pisa),328,328,178,178
206,Universitat Autònoma de Barcelona,126,355,162,162
208,Hebrew University of Jerusalem,270,217,314,314
209,Huazhong University of Science & Technology / 华中科技大学,8559,426,59,59
210,Louisiana State University,670,114,414,414
211,Lomonosov Moscow State University / Московский государственный университет М В Ломоносова,75,204,261,261
211,Hong Kong Polytechnic University,707,376,153,153
213,Eindhoven University of Technology / Technische Universiteit Eindhoven,406,198,300,300
214,University of Victoria British Columbia,562,135,389,389
215,(1) Universitat de València,114,308,229,229
216,University of Central Florida,590,136,409,409
217,Linköping University / Linköpings Universitet,312,180,322,322
217,University of Liverpool,1373,338,158,158
219,Curtin University of Technology,986,296,207,207
220,Universität Tubingen,499,285,233,233
221,York University,459,125,439,439
221,Cardiff University,1274,321,191,191
223,Aalto University / Aalto-yliopisto,249,251,255,255
223,Shandong University / 山东大学,689,364,134,134
225,Universidad de Granada,85,302,269,269
226,Humboldt Universität zu Berlin,261,205,302,302
227,Universidade Estadual de Campinas UNICAMP,83,284,285,285
228,University of Saint Andrews,167,162,402,402
228,Trinity College Dublin,788,199,327,327
230,Drexel University,886,132,408,408
231,Universidade Federal do Rio de Janeiro,297,189,342,342
232,Macquarie University,638,250,280,280
233,Universität zu Köln,386,209,308,308
233,National and Kapodistrian University of Athens,377,388,225,225
235,Tohoku University / 東北大学,298,417,196,196
236,University of California Davis,80,35,55,55
236,Universität Münster,449,297,217,217
236,Politecnico di Milano,356,336,224,224
239,University of Twente / Universiteit Twente,554,202,349,349
240,University of Technology Sydney,831,294,246,246
241,Dalhousie University,929,216,318,318
242,Georgia State University,839,113,508,508
243,Brigham Young University,273,76,656,656
244,University of Leicester,495,203,363,363
245,Radboud University / Radboud Universiteit Nijmegen,356,363,244,244
246,Sun Yat Sen University (Zhongshan University) / 中山大学,6233,453,93,93
246,Universidade de Lisboa,224,559,138,138
248,Tianjin University / 天津大学,1345,533,92,92
249,Università degli Studi di Torino,208,528,165,165
250,University College Dublin,652,337,250,250
250,Indiana University/Purdue University Indianapolis,1147,231,287,287
252,Deakin University,901,340,235,235
253,Griffith University,940,360,243,243
254,Université Laval,429,273,345,345
255,(1) Korea Advanced Institute of Science & Technology KAIST,288,418,236,236
255,Università degli Studi di Firenze,359,525,177,177
255,Florida International University,581,168,415,415
258,University of Sussex,1064,248,313,313
259,Baylor College of Medicine,2296,553,156,156
260,RMIT University,1364,241,318,318
261,Chalmers University of Technology,324,289,324,324
261,Johannes Gutenberg Universität Mainz,706,367,234,234
261,University of Wollongong,634,326,275,275
264,Universidad Autónoma de Madrid,401,461,210,210
265,University of Cape Town,487,394,249,249
266,University of Manitoba,756,258,330,330
267,Nagoya University / 名古屋大学,531,416,232,232
268,Xiamen University / 厦门大学,323,333,241,241
269,Aristotle University of Thessaloniki,173,329,311,311
270,(1) Friedrich Alexander Universität Erlangen Nürnberg FAU,529,504,175,175
270,Southeast University / 东南大学,529,570,135,135
272,Sichuan University / 四川大学,613,518,127,127
273,Georg-August-Universität Göttingen,254,292,283,283
273,Universität Leipzig,531,304,286,286
275,Tongji University / 同济大学,5343,434,132,132
276,Central South University (Zhongnan University) / 中南大学,408,625,108,108
276,University of Texas Dallas,1300,261,344,344
278,Universitat Politècnica de Catalunya BarcelonaTech,114,291,366,366
279,École Polytechnique Fédérale de Lausanne,305,991,103,103
280,Technion Israel Institute of Technology,630,409,274,274
281,Universität Basel,554,414,263,263
282,University of Saskatchewan,778,210,440,440
283,Beihang University (Beijing University of Aeronautics and Astronautics) / 北京航空航天大学,1046,516,143,143
284,Umea University / Umeå Universitet,345,290,359,359
285,Oregon Health & Science University,2320,455,215,215
286,University of Vermont,753,147,539,539
287,Aalborg University / Aalborg Universitet,268,471,237,237
287,University of Surrey,1244,227,404,404
289,Université de Lyon I / Université Claude Bernard (comUE Université de Lyon),793,479,209,209
290,Lancaster University,1707,373,272,272
291,Clemson University,817,160,524,524
292,South China University of Technology / 华南理工大学,979,615,128,128
293,Universität Würzburg,514,443,247,247
294,Universidad Politécnica de Valencia,133,316,373,373
295,University of East Anglia,1064,301,354,354
296,University of Aberdeen,986,310,351,351
297,University of Alabama,686,165,516,516
298,Beijing Normal University / 北京师范大学,847,435,204,204
299,Nankai University / 南开大学,920,527,160,160
300,Jilin University / 吉林大学,698,564,149,149
301,Queen's University Belfast,949,368,305,305
302,Weizmann Institute of Science,566,407,338,338
303,Université de Strasbourg,678,460,257,257
304,University of Bath,835,265,417,417
304,Universidad de Chile,62,320,406,406
306,West Virginia University,811,207,486,486
307,Universidade Estadual Paulista Júlio de Mesquita Filho,163,466,334,334
308,University of Guelph,734,245,462,462
309,Université Grenoble Alpes (Communauté Université Grenoble Alpes),1078,834,121,121
310,Kyushu University / 九州大学,508,468,265,265
311,Université de Lausanne,621,410,335,335
311,Universidad Politécnica de Madrid,210,280,420,420
313,Universidad de Sevilla,106,372,400,400
314,University of Ljubljana / Univerza v Ljubljani,46,400,336,336
315,Hokkaido University / 北海道大学,397,404,339,339
316,Universität Duisburg Essen,678,405,292,292
317,San Diego State University,707,152,609,609
318,Rensselaer Polytechnic Institute,788,140,638,638
319,University of Otago,1105,406,333,333
319,(1) Yonsei University / 연세대학교,254,746,189,189
321,University of North Texas,15,146,699,699
322,Université Catholique de Louvain,336,601,277,277
323,Carleton University,663,235,483,483
324,University of Newcastle,955,452,316,316
325,Boston College,646,123,733,733
326,Utah State University,644,148,618,618
327,Università degli Studi di Genova,629,558,256,256
328,University of New Hampshire,621,141,635,635
328,Keio University / 慶応義塾大学,281,228,450,450
330,University of Texas Southwestern Medical Center at Dallas,2589,738,182,182
331,University of Reading,892,299,422,422
332,Friedrich Schiller Universität Jena,740,521,273,273
333,Auburn University,876,181,592,592
334,Texas Tech University,1019,237,500,500
335,Universität Stuttgart,728,277,456,456
335,Oklahoma State University Stillwater,806,178,581,581
337,Universidade de Coimbra,222,424,380,380
338,Tulane University,1179,224,537,537
339,Charité Universitätsmedizin Berlin,1824,696,201,201
340,Universitat Pompeu Fabra,546,342,434,434
341,Universidade Federal do Rio Grande do Sul UFRGS,96,403,421,421
342,Tokyo Institute of Technology / 東京工業大学,533,524,309,309
343,University at Albany,1453,226,524,524
343,University of Louisville,1161,278,479,479
345,Dalian University of Technology / 大连理工大学,710,666,185,185
346,University of Southern Denmark / Syddansk Universitet,516,602,281,281
347,University of Tsukuba / 筑波大学,440,431,374,374
348,Sorbonne Université,1209,1887,20,20
349,Wake Forest University,1198,322,381,381
349,Loughborough University,876,332,485,485
351,Christian Albrechts Universität zu Kiel,599,389,409,409
352,London School of Hygiene & Tropical Medicine,1019,688,252,252
353,Soochow University / 苏州大学,889,774,176,176
354,Beijing Institute of Technology / 北京理工大学,1169,581,228,228
355,Technische Universität Darmstadt,702,379,418,418
356,University of Tasmania,719,490,383,383
357,University of Strathclyde,750,396,438,438
358,University of Texas Arlington,1046,267,551,551
359,University College Cork,914,387,452,452
360,University of Dundee,1391,369,474,474
361,University of Wisconsin Milwaukee,1007,219,615,615
362,Università degli Studi di Roma Tor Vergata,599,706,288,288
362,Concordia University Montréal,801,312,532,532
362,Universität Bremen,728,318,512,512
365,Chongqing University / 重庆大学,1120,637,214,214
365,Université d’Aix Marseille / Aix Marseille Université,923,1216,126,126
365,Universidad de Zaragoza,341,477,437,437
368,National Cheng Kung University,133,429,481,481
368,National Tsing Hua University Taiwan / 國立清華大學,455,451,423,423
370,La Trobe University,1310,442,427,427
371,Open University UK,618,183,710,710
372,University of South Australia,1999,481,386,386
373,University of Warsaw / Uniwersytet Warszawski,506,345,451,451
374,Universität Innsbruck,804,401,455,455
375,University of Malaya,634,990,179,179
375,Università degli Studi di Trento,925,563,370,370
377,University of Southampton,1682,287,104,104
378,Universidad de Buenos Aires,171,450,476,476
379,Politecnico di Torino,590,539,388,388
380,National Chiao Tung University,205,351,550,550
381,Jagiellonian University / Uniwersytet Jagielloński,233,513,385,385
382,Baylor University,886,174,712,712
383,Universität Ulm,1140,580,350,350
384,University of Kent,1016,324,571,571
384,National Technical University of Athens,644,478,446,446
386,University of Antwerp / Universiteit Antwerpen,1003,886,248,248
387,Université de Bordeaux,1300,730,303,303
387,Maastricht University / Universiteit Maastricht,1053,801,328,328
389,Universidade Federal de Minas Gerais UFMG,137,582,454,454
390,Southern Methodist University,1026,177,755,755
391,University of Mississippi,1070,395,478,478
391,Ruhr Universität Bochum,728,357,320,320
393,Ben Gurion University of the Negev,466,597,425,425
394,Kent State University,1105,197,751,751
395,Universität Hannover,753,358,555,555
396,Hanyang University / 한양대학교,283,877,298,298
397,Lanzhou University / 兰州大学,917,497,364,364
397,Northwestern Polytechnical University / 西北工业大学,1472,787,226,226
399,Universität des Saarlandes,852,411,460,460
400,Universidade Federal de Santa Catarina UFSC,117,348,634,634
401,University of Arkansas Fayetteville,925,233,714,714
401,Flinders University,1373,485,475,475
403,Old Dominion University,1147,184,781,781
404,Masaryk University in Brno / Masarykova Univerzita v Brně MU,11,383,593,593
404,Università degli Studi di Pavia,740,933,289,289
406,University of Oulu / Oulun yliopisto,799,520,445,445
407,Kansas State University,753,256,457,457
408,Rochester Institute of Technology,707,116,1003,1003
409,King Saud University,633,1056,216,216
410,University of Massachusetts Medical School at Worcester,1489,590,435,435
411,University of the Witwatersrand,1128,714,347,347
412,(1) University of Chinese Academy of Sciences / 中国科学院大学,4313,2133,17,17
412,Universidade do Minho,450,621,433,433
414,(1) Sungkyunkwan University / 성균관대학교,786,1279,202,202
415,Università degli Studi di Milano Bicocca,970,911,315,315
416,University of Nevada Reno,1336,260,745,745
417,University of Maryland Baltimore County,732,218,816,816
418,Justus Liebig Universität Giessen,835,654,387,387
418,University of Tehran,108,1085,270,270
420,Stellenbosch University,689,622,448,448
420,Brandeis University,1562,234,758,758
422,Université de Lorraine,552,832,365,365
423,Heinrich Heine Universität Düsseldorf,1053,662,356,356
424,Czech Technical University in Prague / České vysoké učení technické v Praze ČVUT,128,392,576,576
425,Western Sydney University,1495,611,426,426
426,University of Tartu / Tartu Ülikool,121,541,552,552
427,Mississippi State University,949,263,725,725
428,Philipps Universität Marburg,1179,566,436,436
429,University of Canterbury,1053,421,573,573
430,University of Texas San Antonio,1478,415,585,585
431,Memorial University of Newfoundland,1007,377,620,620
432,Jyväskylä University / Jyväskylän yliopisto,267,531,560,560
433,Portland State University,590,196,921,921
434,King Abdulaziz University,577,1976,95,95
435,Universidade Nova de Lisboa,360,690,477,477
435,China Agricultural University / 中国农业大学,1373,628,375,375
437,Saint Petersburg State University / Санкт Петербургский государственный университет,178,402,619,619
438,Hunan University / 湖南大学,2925,1173,170,170
439,Universidad de Salamanca,179,454,685,685
440,Universidad de Málaga,381,438,669,669
441,University of North Carolina Charlotte,917,341,716,716
441,University of Nevada Las Vegas,949,274,789,789
441,University of Pretoria,570,616,501,501
441,University of Belgrade / Универзитет у Београду / Univerzitet u Beogradu,128,940,348,348
445,Université du Québec Montréal,475,385,673,673
446,China University of Geosciences / 中国地质大学,1228,870,258,258
447,Michigan Technological University,1129,225,855,855
448,College of William & Mary,823,243,830,830
449,Université de Liège,403,734,416,416
450,Saint Louis University,2164,375,627,627
450,Universität Potsdam,1003,538,529,529
452,Université de Paris (Alliance Sorbonne Paris Cité),3139,1658,36,36
453,Medizinische Universität Wien,1763,1195,254,254
454,Ryerson University,1319,380,657,657
455,Pohang University of Science & Technology / 포항공과대학교,548,859,411,411
456,Pontificia Universidad Católica de Chile,286,806,395,395
456,Brunel University,1884,583,520,520
458,New Mexico State University,905,239,848,848
458,University of Idaho,1209,282,795,795
458,Universität Bielefeld,455,419,670,670
461,Universität Regensburg,773,464,461,461
462,Universidade de Santiago de Compostela,247,790,496,496
463,University of Science & Technology Beijing / 北京科技大学,1736,795,307,307
463,Montana State University,1161,269,825,825
465,Università degli Studi di Catania,653,1088,311,311
466,University of Tromso / Universitetet i Tromsø,442,574,556,556
467,University of Wyoming,1692,330,728,728
468,Université de Nice / Université Nice Sophia Antipolis (Université Côte d'Azur),1156,532,560,560
469,Xidian University / 西安电子科技大学,2039,777,340,340
470,Hiroshima University / 広島大学,380,589,559,559
471,Jefferson (Philadelphia University and Thomas Jefferson University),1985,713,430,430
471,(1) Università Cattolica del Sacro Cuore,566,1070,369,369
473,Shanghai University / 上海大学,2249,704,391,391
473,Middle East Technical University / Orta Doğu Teknik Üniversitesi,638,503,607,607
475,Waseda University / 早稲田大学,478,604,546,546
476,Universidad Nacional de La Plata,126,530,724,724
476,Loyola University Chicago,1156,283,784,784
478,King Abdullah University of Science & Technology,1894,1234,289,289
479,Kobe University / 神戸大学,698,653,507,507
480,University of Rhode Island,1286,264,894,894
481,Medical University of South Carolina,4252,833,377,377
482,Universidad de Oviedo,537,821,484,484
483,Universidad Carlos III de Madrid,538,508,646,646
483,University of Missouri Kansas City,1601,295,763,763
483,City University London,1530,399,720,720
486,University of Denver,263,252,941,941
487,Shenzhen University / 深圳大学,2427,896,341,341
487,Martin Luther Universität Halle Wittenberg,588,641,489,489
489,Lehigh University,1324,298,875,875
490,University of Essex,1514,398,754,754
491,Technische Universität Graz,704,462,682,682
492,Swedish University of Agricultural Sciences / Sveriges Lantbruksuniversitet,855,921,431,431
492,Université de Montpellier,1569,1609,199,199
494,Massey University,1355,501,647,647
495,Heriot-Watt University,1373,491,658,658
495,Erasmus University of Rotterdam / Erasmus Universiteit Rotterdam,667,2866,81,81
497,Università degli Studi di Perugia,1228,1249,317,317
498,Università degli Studi di Bari Aldo Moro,608,1184,352,352
498,Illinois Institute of Technology,1345,311,833,833
500,Hong Kong Baptist University,811,500,623,623
500,Renmin University of China / 中国人民大学,621,281,744,744
502,Nanjing University of Aeronautics & Astronautics / 南京航空航天大学,1692,820,368,368
502,National University of Ireland NUI Galway,850,682,582,582
502,National Research University Higher School of Economics / Национальный исследовательский университет Высшая школа экономики,77,408,869,869
502,(3) University of Texas Health Science Center at San Antonio,2119,776,505,505
506,Universidad de Murcia,295,565,697,697
507,Northeastern University China / 东北大学,1824,813,342,342
507,Northern Illinois University,1263,293,832,832
509,Northern Arizona University,1258,246,978,978
510,Nanjing University of Science & Technology / 南京理工大学,1300,1025,337,337
510,Universität Konstanz,786,515,670,670
512,University of Plymouth,2151,576,596,596
512,Jinan University / 暨南大学,881,716,465,465
514,Indian Institute of Technology Bombay,373,786,553,553
514,Bar Ilan University,274,835,568,568
516,Universidade de Aveiro,766,970,471,471
517,AGH University of Science & Technology / Akademia Górniczo-Hutnicza Stanisława Staszica w Krakowie,778,627,540,540
518,Ohio University,1850,323,847,847
519,Binghamton University,2126,334,852,852
519,Wuhan University of Technology / 武汉理工大学,2201,811,390,390
521,Università degli Studi di Palermo,429,1147,412,412
522,Université de Nantes,909,888,464,464
523,Università degli Studi di Parma,843,861,527,527
523,Fordham University,1100,154,1147,1147
525,Université Paris Saclay (comUE Université Paris Saclay),2304,1441,115,115
526,American University Washington DC,1514,169,1136,1136
527,Rockefeller University,3776,697,521,521
528,Swansea University,3464,701,544,544
529,University of Iceland / Háskóli Íslands,121,737,636,636
530,Chulalongkorn University,169,754,580,580
530,Université de Rennes I,1707,869,486,486
532,Universiti Teknologi Malaysia,259,1311,384,384
533,University of Massachusetts Boston,1721,349,879,879
534,Warsaw University of Technology / Politechnika Warszawska,414,732,570,570
535,Florida Atlantic University,1274,362,934,934
536,China University of Mining & Technology / 中国矿业大学,1324,905,331,331
537,Medical College of Wisconsin,1634,860,499,499
538,Université de Sherbrooke,723,665,665,665
539,Universitat d'Alacant / Universidad de Alicante,161,529,843,843
540,Tehran University of Medical Sciences,236,1495,382,382
540,University of Birmingham,1078,272,114,114
542,Pusan National University (Miryang) / 부산대학교,524,871,530,530
543,Beijing University of Chemical Technology / 北京化工大学,2853,856,392,392
544,National Central University / 國立中央大學,719,636,626,626
545,Università della Calabria (Università degli Studi della Calabria),1289,915,509,509
546,University of Akron,1746,447,812,812
546,Icahn School of Medicine at Mount Sinai,6016,1194,139,139
548,Hefei University of Technology / 合肥工业大学,970,789,473,473
549,Université de Fribourg / Universität Freiburg,437,703,659,659
550,Beijing (Northern) Jiaotong University / 北京交通大学,1803,979,403,403
551,New Jersey Institute of Technology,1871,489,808,808
552,University of Haifa,876,711,690,690
552,(1) Kyungpook (Kyungbook) National University / 경북대학교,719,1255,441,441
554,Università degli Studi di Siena,955,1009,522,522
554,Durham University,406,1159,268,268
556,Universidade Federal do Paraná,242,614,775,775
556,Università degli Studi di Salerno,728,1399,404,404
558,Universidad de Castilla la Mancha,581,760,663,663
559,Palacký University of Olomouc / Univerzita Palackého v Olomouci UP,519,667,608,608
560,University of Portsmouth,1345,578,731,731
561,National Yang Ming University,1250,506,666,666
561,Beijing University of Posts and Telecommunications / 北京邮电大学,2458,929,428,428
563,Università degli Studi Roma Tre,811,947,543,543
564,Kyung Hee University / 경희대학교,469,1527,378,378
565,Northumbria University,1721,647,670,670
566,Karl Franzens Universität Graz,748,593,752,752
567,University of Montana Missoula,992,271,926,926
568,University of Patras (incl University of Western Greece),615,796,686,686
569,Universiti Sains Malaysia,377,993,578,578
570,Universidade Federal Fluminense,57,544,885,885
571,Worcester Polytechnic Institute,1046,309,1065,1065
572,Universidade de Brasília UNB,250,646,801,801
573,Colorado School of Mines,2841,668,694,694
574,(3) University of Kansas Medical Center,2988,802,586,586
574,Universität Rostock,1221,822,588,588
576,Southwest Jiaotong University / 西南交通大学,1324,879,462,462
576,Universität Bayreuth,738,645,728,728
578,University of Eastern Finland / Itä-Suomen yliopisto,949,1143,497,497
